User Name,Title,Description,Category,Publish,Date
StudentIT,find nemos,who are nemos?,,False,2024/04/25
StudentIT,Contribution from the IT Faculty,Lorem ipsum dolor sit amet. Et quam maxime sed similique recusandae 33 nihil nemo eum suscipit exercitationem et tenetur harum ut laudantium asperiores. Et asperiores vitae sed dicta dignissimos nam quasi tenetur est similique veniam. Cum omnis minus et quibusdam officia qui aliquid quae eos quia eius quo sint quia aut dignissimos exercitationem. Ut cumque quae a aliquid quia hic reiciendis quibusdam nam reprehenderit facere et possimus dolorem.,,False,2024/04/25
StudentIT,StudentIT new submission ,123,,False,2024/05/01
StudentIT,New submission for video ,THIS IS A DEMO,,False,2024/05/01
StudentIT,A new contribution,Amazing contribution,,False,2024/05/02
StudentIT,Contribution IT,This contribution is very nice please check it out,,False,2024/05/02
StudentIT,Wow amazing,123,,False,2024/05/02
StudentIT,GD StiIIness,321,,False,2024/05/02
StudentIT,test,123,,False,2024/05/02
StudentIT,sadsad,asdsd,,False,2024/05/02
StudentIT,sad,dasdasdsa,,False,2024/05/02
StudentIT,Contribution,A very good desc,,False,2024/05/02
StudentIT,Anon contribution,1234,,False,2024/05/02
StudentIT,Non anon,123,,False,2024/05/02
StudentIT,123,123,,False,2024/05/02
StudentIT,321,321,,True,2024/05/02
StudentIT,wow,12345,,True,2024/05/02
Josh,A nice contribution,Very first contribution!,,True,2024/05/02
Josh,Another contribution!,"This contribution is really important, please check it out",,True,2024/05/02
it,Amazing contribution,Super detailed description,,True,2024/05/02
Tom,An important contribution!,Please check this out!,,True,2024/05/02
StudentIT,StudentIT submission,12345,,False,2024/05/02
StudentIT,Machine Learning TalkShow,Talk deeply about machine learning and its benefits,,False,2024/05/02
TonnyNguyen,Machine Learning TalkShow,test,,False,2024/05/02
TonnyNguyen,Shakespear's Art,talk about the art of Shakespear,,False,2024/05/02
StudentIT,Hi,hello,,False,2024/05/02
StudentIT,not hello,not hi,,False,2024/05/02
TonnyNguyen,Design UI for 2D game,Designing 2D game UI ,,False,2024/05/02
StudentIT,123,123,,False,2024/05/02
StudentIT,456,456,,False,2024/05/02
StudentIT,123456,123456,,False,2024/05/02
StudentIT,098,098,,False,2024/05/02
StudentIT,567,567,,False,2024/05/02
StudentIT,qwe,qwe,,False,2024/05/02
StudentIT,123456789,poiuytrewq,,False,2024/05/02
TonnyNguyen,Analyze the art of Rome,This Contribution focuses on art of Rome,,False,2024/05/03
StudentIT,hello and hi ,and hi and hello,,False,2024/05/03
StudentIT,Contribution 4,Des,,False,2024/05/03
wow,test,test,,True,2024/05/03
